Time,X,Y,Z
5.750000000000003997e-01,-1.390509378545264951e+01,-1.699832071603374217e+01,3.907258126887958127e+01
5.800000000000004041e-01,-1.408435862581783304e+01,-1.696419931479670495e+01,3.947559547319080764e+01
5.850000000000004086e-01,-1.425038284148790346e+01,-1.690226505879344288e+01,3.988177974729188691e+01
5.900000000000004130e-01,-1.440229680848053562e+01,-1.681185555813627275e+01,4.028784796155654391e+01
5.950000000000004174e-01,-1.453925243961040437e+01,-1.669263409054997283e+01,4.069042081747749506e+01
6.000000000000004219e-01,-1.466044150490125375e+01,-1.654460939214981252e+01,4.108606692531645166e+01
6.050000000000004263e-01,-1.476511386238424528e+01,-1.636814932239471787e+01,4.147134819850860765e+01
6.100000000000004308e-01,-1.485259521955550532e+01,-1.616398747357204257e+01,4.184286846852104702e+01
6.150000000000004352e-01,-1.492230401960857478e+01,-1.593322200469909689e+01,4.219732400930598715e+01
6.200000000000004396e-01,-1.497376703583585922e+01,-1.567730624589528077e+01,4.253155449279492473e+01
6.250000000000004441e-01,-1.500663326438666623e+01,-1.539803093039982684e+01,4.284259279130210984e+01
6.300000000000004485e-01,-1.502068573101809257e+01,-1.509749825123704703e+01,4.312771201119701914e+01
6.350000000000004530e-01,-1.501585087159612364e+01,-1.477808828827598120e+01,4.338446819200068916e+01
6.400000000000004574e-01,-1.499220520769324061e+01,-1.444241868726120970e+01,4.361073723762610399e+01
6.450000000000004619e-01,-1.494997911526442103e+01,-1.409329877326769065e+01,4.380474485698610465e+01
6.500000000000004663e-01,-1.488955757254465695e+01,-1.373367952669650549e+01,4.396508856860740622e+01
6.550000000000004707e-01,-1.481147786860192461e+01,-1.336660102379958559e+01,4.409075115176322157e+01
6.600000000000004752e-01,-1.471642435144220151e+01,-1.299513903447106244e+01,4.418110528445163965e+01
6.650000000000004796e-01,-1.460522038905080322e+01,-1.262235247264604965e+01,4.423590947353738301e+01
6.700000000000004841e-01,-1.447881780332391521e+01,-1.225123331078001243e+01,4.425529573157545116e+01
6.750000000000004885e-01,-1.433828411112959245e+01,-1.188466040761863418e+01,4.423974976712598561e+01
6.800000000000004929e-01,-1.418478796526318853e+01,-1.152535847133798086e+01,4.419008471325945209e+01
6.850000000000004974e-01,-1.401958322846869542e+01,-1.117586310566512964e+01,4.410740960991820003e+01
6.900000000000005018e-01,-1.384399213485786539e+01,-1.083849258454100095e+01,4.399309397304509162e+01
6.950000000000005063e-01,-1.365938799508286472e+01,-1.051532669140237886e+01,4.384872982596417756e+01
7.000000000000005107e-01,-1.346717788575015007e+01,-1.020819266104311929e+01,4.367609254084769788e+01
7.050000000000005151e-01,-1.326878573199534905e+01,-9.918657991319253853e+00,4.347710174913323300e+01
7.100000000000005196e-01,-1.306563614776440296e+01,-9.648029661010445679e+00,4.325378344158080068e+01
7.150000000000005240e-01,-1.285913934448402074e+01,-9.397359107024016112e+00,4.300823420521818718e+01
7.200000000000005285e-01,-1.265067735892430711e+01,-9.167452182630722035e+00,4.274258835011098512e+01
7.250000000000005329e-01,-1.244159178852933856e+01,-8.958883238428200002e+00,4.245898847737395698e+01
7.300000000000005373e-01,-1.223317316038468405e+01,-8.772012435828392185e+00,4.215955984311087690e+01
7.350000000000005418e-01,-1.202665200091773379e+01,-8.607005413180511155e+00,4.184638869074253620e+01
7.400000000000005462e-01,-1.182319161945477859e+01,-8.463854469699631622e+00,4.152150456357284014e+01
7.450000000000005507e-01,-1.162388257137420666e+01,-8.342400503946183932e+00,4.118686647494216402e+01
7.500000000000005551e-01,-1.142973872671447033e+01,-8.242355033439393353e+00,4.084435270698566711e+01
7.550000000000005596e-01,-1.124169483811466286e+01,-8.163321722381262191e+00,4.049575393083232910e+01
7.600000000000005640e-01,-1.106060547783546966e+01,-8.104816948661156317e+00,4.014276928938858191e+01
7.650000000000005684e-01,-1.088724519692302728e+01,-8.066289043737235431e+00,3.978700505581444702e+01
7.700000000000005729e-01,-1.072230974966928585e+01,-8.047135935363392889e+00,3.942997547286115889e+01
7.750000000000005773e-01,-1.056641822254746543e+01,-8.046721010417833497e+00,3.907310538650652632e+01
7.800000000000005818e-01,-1.042011590782497343e+01,-8.064387091407200003e+00,3.871773430789590265e+01
7.850000000000005862e-01,-1.028387776711793400e+01,-8.099468484667250223e+00,3.836512156680252161e+01
7.900000000000005906e-01,-1.015811233831830762e+01,-8.151301110752978474e+00,3.801645225438358722e+01
7.950000000000005951e-01,-1.004316594973053434e+01,-8.219230768508483109e+00,3.767284369013898981e+01
8.000000000000005995e-01,-9.939327117126614652e+00,-8.302619614756343580e+00,3.733535218541124578e+01
8.050000000000006040e-01,-9.846831012101185721e+00,-8.400850962643810149e+00,3.700497991174868417e+01
8.100000000000006084e-01,-9.765863903028993320e+00,-8.513332514763872538e+00,3.668268171571553182e+01
8.150000000000006128e-01,-9.696567482655352066e+00,-8.639498153607194197e+00,3.636937175142003298e+01
8.200000000000006173e-01,-9.639043008549716518e+00,-8.778808413034306923e+00,3.606592982764491495e+01
8.250000000000006217e-01,-9.593355194082688442e+00,-8.930749751539961423e+00,3.577320738778829678e+01
8.300000000000006262e-01,-9.559535798090484704e+00,-9.094832742252418001e+00,3.549203305786210905e+01
8.350000000000006306e-01,-9.537586870883092871e+00,-9.270589286881401492e+00,3.522321771071494112e+01
8.400000000000006350e-01,-9.527483622707645594e+00,-9.457568952082304747e+00,3.496755900372627934e+01
8.450000000000006395e-01,-9.529176888221252639e+00,-9.655334517701939845e+00,3.472584535281107776e+01
8.500000000000006439e-01,-9.542595167021197256e+00,-9.863456817763966100e+00,3.449885930807458578e+01
8.550000000000006484e-01,-9.567646225920176661e+00,-1.008150894739649495e+01,3.428738029628726736e+01
8.600000000000006528e-01,-9.604218253559647422e+00,-1.030905990267762462e+01,3.409218669294080684e+01
8.650000000000006573e-01,-9.652180562263689367e+00,-1.054566771598897645e+01,3.391405718243758827e+01
8.700000000000006617e-01,-9.711383835901923334e+00,-1.079087214728284216e+01,3.375377135940425433e+01
8.750000000000006661e-01,-9.781659926116354598e+00,-1.104418699200157050e+01,3.361210951766552313e+01
8.800000000000006706e-01,-9.862821202744832760e+00,-1.130509206951647805e+01,3.348985156655012219e+01
8.850000000000006750e-01,-9.954659467819569230e+00,-1.157302496211741172e+01,3.338777500744485849e+01
8.900000000000006795e-01,-1.005694444631148521e+01,-1.184737258397970194e+01,3.330665189743109522e+01
8.950000000000006839e-01,-1.016942187100856110e+01,-1.212746267230409991e+01,3.324724472205699755e+01
9.000000000000006883e-01,-1.029181118373284320e+01,-1.241255530903716320e+01,3.321030109651855611e+01
9.050000000000006928e-01,-1.042380288068174110e+01,-1.270183460120722074e+01,3.319654721452225488e+01
9.100000000000006972e-01,-1.056505553617528825e+01,-1.299440067079956052e+01,3.320667996774698594e+01
9.150000000000007017e-01,-1.071519254663014209e+01,-1.328926213092281827e+01,3.324135766705435202e+01
9.200000000000007061e-01,-1.087379864525936846e+01,-1.358532925325638985e+01,3.330118931042240149e+01
9.250000000000007105e-01,-1.104041624786655618e+01,-1.388140806162816787e+01,3.338672236303864338e+01
9.300000000000007150e-01,-1.121454170115812055e+01,-1.417619561695951802e+01,3.349842904311515923e+01
9.350000000000007194e-01,-1.139562151715972327e+01,-1.446827678828411834e+01,3.363669114373718827e+01
9.400000000000007239e-01,-1.158304869042167518e+01,-1.475612283126383950e+01,3.380178346721901050e+01
9.450000000000007283e-01,-1.177615920845497754e+01,-1.503809211734161089e+01,3.399385600453847189e+01
9.500000000000007327e-01,-1.197422887984876638e+01,-1.531243337073392929e+01,3.421291505856772375e+01
9.550000000000007372e-01,-1.217647061823356225e+01,-1.557729177385113495e+01,3.445880358557126044e+01
9.600000000000007416e-01,-1.238203233297213579e+01,-1.583071829113487183e+01,3.473118111363809390e+01
9.650000000000007461e-01,-1.258999558832352150e+01,-1.607068253327215501e+01,3.502950368730262909e+01
9.700000000000007505e-01,-1.279937520082820157e+01,-1.629508943490576200e+01,3.535300438150247260e+01
9.750000000000007550e-01,-1.300911994866694599e+01,-1.650179994628368263e+01,3.570067502098999768e+01
9.800000000000007594e-01,-1.321811456552421582e+01,-1.668865584045009598e+01,3.607124982793648371e+01
9.850000000000007638e-01,-1.342518318377782727e+01,-1.685350861136355505e+01,3.646319179418443923e+01
9.900000000000007683e-01,-1.362909437642490040e+01,-1.699425228508082242e+01,3.687468262789607820e+01
9.950000000000007727e-01,-1.382856792297277160e+01,-1.710885978821821141e+01,3.730361714907057546e+01
1.000000000000000666e+00,-1.402228339077321806e+01,-1.719542232004627991e+01,3.774760299629525662e+01
1.005000000000000560e+00,-1.420889057956083334e+01,-1.725219096421256637e+01,3.820396645045087780e+01
1.010000000000000453e+00,-1.438702182341009106e+01,-1.727761956340741989e+01,3.866976507359301252e+01
